name,neighbourhood,room_type,accommodates,property_type,amenities,price,is_available_next_2_days
Heart of Portlandia 3 bed w/ large yard.,Rose City Park,Entire home/apt,4,Entire guest suite,"\"\"\"Outdoor dining area\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Free street parking\"\"& \"\"50\\\"\" HDTV with Amazon Prime Video& Netflix& standard cable\"\"& \"\"Fire pit\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Barbecue utensils\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Central air conditioning\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Clothing storage: dresser& walk-in closet& closet& and wardrobe\"\"& \"\"Safe\"\"& \"\"Wifi\"\"& \"\"Wine glasses\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Private patio or balcony\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Conditioner\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Toaster\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dishwasher\"\"& \"\"Dining table\"\"& \"\"Private garden or backyard\"\"& \"\"Baking sheet\"\"& \"\"Free washer \\u2013 In unit\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"\"",$149.00,True
"Cozy 2BD/2BA w/ balcony, sleeps 5",East Columbia,Entire home/apt,5,Entire rental unit,"\"\"\"Indoor fireplace\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Free parking on premises\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Carbon monoxide alarm\"\"\"",$115.00,True
Eurostyle flat - End unit!,Northwest District,Entire home/apt,3,Entire rental unit,"\"\"\"TV\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Keypad\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Long term stays allowed\"\"& \"\"Dedicated workspace\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"\"",$116.00,True
Gorgeous 1BR Apt in the heart of Downtown PDX,Pearl,Entire home/apt,3,Entire rental unit,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"& \"\"Pool\"\"\"",$130.00,True
Beautiful floating home with 360 degree views,South Portland,Entire home/apt,6,Houseboat,"\"\"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Fire pit\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Keypad\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"BBQ grill\"\"& \"\"Patio or balcony\"\"\"",$250.00,True
"\"\"\"The Hermitage\"\"","Historic Hafner Haus 2nd unit\"",Entire rental unit,Entire home/apt,Portland Downtown,7,"\"\"\"Children\\u2019s books and toys\"\"& \"\"Coffee maker\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Paid parking on premises\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Keypad\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Breakfast\"\"& \"\"High chair\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Pack \\u2019n play/Travel crib\"\"& \"\"Bed linens\"\"& \"\"Fire extinguisher\"\"\"",FALSE
Two bedroom Remodeled Gem,Buckman,Entire home/apt,8,Entire rental unit,"\"\"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Keypad\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Air conditioning\"\"& \"\"Fire extinguisher\"\"\"",$75.00,FALSE
"#InvestREPM Richmond Private Apt Long Term Rental",Richmond,Entire home/apt,4,Entire condominium (condo),"\"\"\"Portable fans\"\"& \"\"Laundromat nearby\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Hangers\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Outdoor furniture\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Dining table\"\"& \"\"Children\\u2019s dinnerware\"\"& \"\"Cleaning before checkout\"\"\"",$63.00,True
Incredible Historic Prescott House,Humboldt,Entire home/apt,8,Entire residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Smart lock\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Fire extinguisher\"\"\"",$140.00,True
Hip PDX Neighborhood lets you rest your wheels,Kerns,Entire home/apt,3,Entire rental unit,"\"\"\"Shampoo\"\"& \"\"TV\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Kitchen\"\"& \"\"Wifi\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"\"",$57.00,True
"Amazing, long term rental in John's Landing",South Portland,Entire home/apt,4,Entire residential home,"\"\"\"Portable fans\"\"& \"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Board games\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Samsung refrigerator\"\"& \"\"Hangers\"\"& \"\"Safe\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Samsumg electric stove\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Outdoor furniture\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Air conditioning\"\"& \"\"Freezer\"\"& \"\"Dining table\"\"& \"\"Dishwasher\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$140.00,True
Awesome close to downtown rental,Buckman,Entire home/apt,4,Entire rental unit,"\"\"\"Wifi\"\"& \"\"Free parking on premises\"\"& \"\"Long term stays allowed\"\"& \"\"Security cameras on property\"\"\"",$53.00,True
A home you will love | 1BR in Portland,Portland Downtown,Entire home/apt,3,Entire serviced apartment,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Patio or balcony\"\"\"",$149.00,True
Camp Kelly + The Boathouse = PDX Adventure Base,Richmond,Entire home/apt,4,Entire residential home,"\"\"\"Clothing storage: closet and dresser\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Board games\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Barbecue utensils\"\"& \"\"Outdoor shower\"\"& \"\"Body soap\"\"& \"\"Drying rack for clothing\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Private fenced garden or backyard\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Private patio or balcony\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Outdoor furniture\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Toaster\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"& \"\"Window AC unit\"\"& \"\"Dishwasher\"\"& \"\"Dining table\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"Rice maker\"\"& \"\"Fire extinguisher\"\"\"",$90.00,True
Art Food and Wine.,Hazelwood,Shared room,2,Shared room in residential home,"\"\"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Breakfast\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Fire extinguisher\"\"\"",$100.00,True
Barsala | Downtown Pearl District 2BD,Pearl,Entire home/apt,4,Entire rental unit,"\"\"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$230.00,True
The Garden Cottage on Broadway ~ 94 WalkScore ~,Irvington,Entire home/apt,2,Entire rental unit,"\"\"\"Cooking basics\"\"& \"\"Hair dryer\"\"& \"\"Clothing storage: closet\"\"& \"\"Iron\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Shower gel\"\"& \"\"Wine glasses\"\"& \"\"Wifi\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Bed linens\"\"\"",$87.00,True
Luxury Downtown Condo in The Pearl,Pearl,Entire home/apt,4,Entire condominium (condo),"\"\"\"Cooking basics\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Stainless steel oven\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Free dryer \\u2013 In unit\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Sound system\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Cleaning products\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Air conditioning\"\"& \"\"Room-darkening shades\"\"& \"\"Freezer\"\"& \"\"Toaster\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Changing table\"\"& \"\"Baking sheet\"\"& \"\"Outdoor dining area\"\"& \"\"Patio or balcony\"\"\"",$96.00,FALSE
Nice 2 bedroom with a wrap around view,Humboldt,Entire home/apt,5,Entire rental unit,"\"\"\"Portable fans\"\"& \"\"Single level home\"\"& \"\"Elevator\"\"& \"\"Portable air conditioning\"\"& \"\"Cooking basics\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Body soap\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"70\\\"\" TV\"\"& \"\"Safe\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Cleaning products\"\"& \"\"Ceiling fan\"\"& \"\"Conditioner\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Room-darkening shades\"\"& \"\"Bed linens\"\"& \"\"Central heating\"\"& \"\"Dedicated workspace: table\"\"& \"\"Dining table\"\"\"",$125.00,True
"Mid-Century Modern Escape W/ Free WiFi, Kitchenette & Great Location - Dogs OK!",Eliot,Entire home/apt,4,Entire rental unit,"\"\"\"Coffee maker\"\"& \"\"Dedicated workspace\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Bathtub\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$194.00,True
Newly Renovated Basement - own entrance/bathroom,Montavilla,Entire home/apt,2,Entire guest suite,"\"\"\"Shampoo\"\"& \"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Free parking on premises\"\"& \"\"Washer\"\"& \"\"Keypad\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Iron\"\"& \"\"Private entrance\"\"\"",$65.00,True
Guesthouse room for extended stays--very close in,Buckman,Private room,2,Private room in residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Host greets you\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Bed linens\"\"& \"\"Lock on bedroom door\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$44.00,FALSE
Close-in room for your extended stay needs,Buckman,Private room,1,Private room in residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Host greets you\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Lock on bedroom door\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$43.00,FALSE
Grand Richmond Craftsman,Richmond,Entire home/apt,5,Entire residential home,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Smart lock\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Indoor fireplace\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Dishwasher\"\"& \"\"BBQ grill\"\"& \"\"Fire extinguisher\"\"& \"\"Patio or balcony\"\"\"",$250.00,True
AMAZING NEIGHBORHOOD IN PORTLAND!,Northwest District,Entire home/apt,2,Entire rental unit,"\"\"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"Kitchen\"\"& \"\"Cable TV\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Heating\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"TV with standard cable\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"\"",$68.00,FALSE
Home Away Home in Downtown   High Raise,Portland Downtown,Entire home/apt,3,Entire condominium (condo),"\"\"\"Host greets you\"\"& \"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Pool\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Long term stays allowed\"\"& \"\"Elevator\"\"& \"\"Dishes and silverware\"\"& \"\"Heating\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hot tub\"\"& \"\"Hair dryer\"\"& \"\"Private entrance\"\"\"",$92.00,True
Tiny House/Room/Studio Space in SE Portland,Richmond,Entire home/apt,1,Tiny house,"\"\"\"Refrigerator\"\"& \"\"Essentials\"\"& \"\"Kitchen\"\"& \"\"Smoke alarm\"\"& \"\"Hangers\"\"& \"\"Washer\"\"& \"\"Wifi\"\"& \"\"Air conditioning\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Long term stays allowed\"\"& \"\"Coffee maker\"\"& \"\"Dishes and silverware\"\"& \"\"Heating\"\"& \"\"Free street parking\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Fire extinguisher\"\"& \"\"First aid kit\"\"& \"\"Private entrance\"\"\"",$29.00,FALSE
Bright and Spacious NW 23rd Ave Vintage Apartment,Northwest District,Entire home/apt,2,Entire rental unit,"\"\"\"Outlet covers\"\"& \"\"Washer \\u2013\\u00a0In building\"\"& \"\"Coffee maker\"\"& \"\"Cooking basics\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Free street parking\"\"& \"\"TV\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Dishes and silverware\"\"& \"\"Stove\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Long term stays allowed\"\"& \"\"Lockbox\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Dryer \\u2013 In building\"\"& \"\"Private entrance\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"Bathtub\"\"& \"\"Oven\"\"& \"\"Paid parking off premises\"\"& \"\"Dishwasher\"\"& \"\"Fire extinguisher\"\"\"",$89.00,True
Portland Urban Farmhouse.,Parkrose Heights,Private room,2,Private room in residential home,"\"\"\"Security cameras on property\"\"& \"\"Coffee maker\"\"& \"\"Dedicated workspace\"\"& \"\"Iron\"\"& \"\"Kitchen\"\"& \"\"Microwave\"\"& \"\"Extra pillows and blankets\"\"& \"\"Dishes and silverware\"\"& \"\"First aid kit\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Refrigerator\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Dryer\"\"& \"\"Backyard\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Essentials\"\"& \"\"Free parking on premises\"\"& \"\"Smoke alarm\"\"& \"\"Washer\"\"& \"\"Oven\"\"& \"\"Air conditioning\"\"& \"\"Bed linens\"\"& \"\"Lock on bedroom door\"\"& \"\"BBQ grill\"\"& \"\"Patio or balcony\"\"\"",$38.00,True
"Hotel Rose, Cityscape Balcony Two Doubles",Portland Downtown,Private room,4,Room in boutique hotel,"\"\"\"Coffee maker\"\"& \"\"Elevator\"\"& \"\"Dedicated workspace\"\"& \"\"Hair dryer\"\"& \"\"Iron\"\"& \"\"Tommy Bahama body soap\"\"& \"\"Cable TV\"\"& \"\"Tommy Bahama conditioner\"\"& \"\"Carbon monoxide alarm\"\"& \"\"Tommy Bahama shampoo\"\"& \"\"Hangers\"\"& \"\"Wifi\"\"& \"\"Hot water\"\"& \"\"Long term stays allowed\"\"& \"\"Luggage dropoff allowed\"\"& \"\"Heating\"\"& \"\"Gym\"\"& \"\"Private entrance\"\"& \"\"Paid parking lot on premises\"\"& \"\"Essentials\"\"& \"\"Smoke alarm\"\"& \"\"TV with standard cable\"\"& \"\"Mini fridge\"\"& \"\"Air conditioning\"\"& \"\"Lock on bedroom door\"\"& \"\"Cleaning before checkout\"\"& \"\"Patio or balcony\"\"& \"\"Keurig coffee machine\"\"\"",$140.00,True
